dataset,threshold,n_patched,overall_acc,rq1_rho,rsa_rho
BANKING77,0.3,76,0.5792207792207792,-0.1341274693542422,0.3161806390108145
BANKING77,0.4,69,0.576948051948052,-0.0969990715401393,0.2685729894522755
BANKING77,0.5,64,0.5792207792207792,-0.11548105278287159,0.2583631949655343
BANKING77,0.6,52,0.5633116883116883,-0.17620785046239062,0.24565060942883513
BANKING77,0.7,30,0.5607142857142857,-0.18807154716355307,0.27329526820878614
CLINC150,0.3,145,0.7125448028673835,-0.0358748693830713,0.11357578113911854
CLINC150,0.4,123,0.6996415770609319,-0.06160470216671214,0.06242462340775662
CLINC150,0.5,89,0.6824372759856631,-0.10972240726034507,0.09814409547816569
CLINC150,0.6,68,0.6835125448028674,-0.10845940188571775,0.13435759345080897
CLINC150,0.7,39,0.6670250896057348,-0.06395957397632615,0.16466184065701148
