Domain,Condition,Accuracy,N Samples
banking,Bare Labels,0.6067,300
credit_cards,Bare Labels,0.7926,270
travel,Bare Labels,0.8037,270
home,Bare Labels,0.6625,240
auto_and_commute,Bare Labels,0.6815,270
kitchen_and_dining,Bare Labels,0.6833,240
work,Bare Labels,0.7111,270
small_talk,Bare Labels,0.7367,300
meta,Bare Labels,0.6926,270
utilities,Bare Labels,0.5185,270
rideshare,Bare Labels,0.5444,90
banking,LLM Descriptions,0.68,300
credit_cards,LLM Descriptions,0.863,270
travel,LLM Descriptions,0.9,270
home,LLM Descriptions,0.7042,240
auto_and_commute,LLM Descriptions,0.7704,270
kitchen_and_dining,LLM Descriptions,0.6583,240
work,LLM Descriptions,0.7296,270
small_talk,LLM Descriptions,0.74,300
meta,LLM Descriptions,0.7111,270
utilities,LLM Descriptions,0.6185,270
rideshare,LLM Descriptions,0.5667,90
