label_i,label_j,bare_confusion,desc_confusion,improvement
card payment not recognised,get physical card,0.9875,0.85,0.1375
card payment not recognised,why is card on the way,0.9875,0.85,0.1375
topping up by card,why is card on the way,1.0,0.875,0.125
get physical card,topping up by card,1.0,0.875,0.125
order physical card,topping up by card,0.95,0.8375,0.1125
beneficiary not allowed,card payment not recognised,0.925,0.8562,0.0688
beneficiary not allowed,topping up by card,0.9313,0.8688,0.0625
get physical card,top up by bank transfer charge,0.9125,0.875,0.0375
top up by bank transfer charge,why is card on the way,0.9125,0.875,0.0375
incorrect currency received,why is card on the way,1.0,1.0,0.0
beneficiary not allowed,get physical card,0.9313,0.9313,0.0
beneficiary not allowed,why is card on the way,0.9313,0.9313,0.0
get physical card,identity verification mobile number,1.0,1.0,0.0
international fee,why is card on the way,1.0,1.0,0.0
get physical card,incorrect currency received,1.0,1.0,0.0
